params_str,params,mean_fit_time,mean_score_time,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,rank_test_accuracy,mean_test_mcc,std_test_mcc,mean_train_mcc,std_train_mcc,rank_test_mcc
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': None}",100.46094946861267,9.76638822555542,0.9051656180104629,0.004530314102529,0.9904749884784726,0.00022499931295484748,1,0.8078000812134507,0.009096306599976829,0.9807233258974307,0.0004573308951130037,1
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': None}",85.52371001243591,10.583203172683715,0.9050319954375146,0.005020135406125238,0.9901780285592231,0.00018459685032125281,2,0.8075364223384769,0.010097772801825935,0.9801217418301217,0.00037556357414277063,2
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': None}",235.3728036403656,10.505388498306274,0.9044083675770528,0.004395980732530528,0.9975166668588816,0.00011344582140466897,3,0.8062404312956237,0.00879087847772559,0.9949679607122579,0.00022903786786430193,3
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'None'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': None}",166.90849642753602,10.007113122940064,0.9043786620358343,0.004235387174254124,0.9975129548375004,0.00010758618295636732,4,0.8061758143866078,0.008445380159162142,0.994960473361792,0.0002177974255140902,4
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'english'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': 'english'}",328.9088412761688,11.634782028198241,0.8979048713857656,0.0027451719381060037,0.9813397375485142,0.0006991682058885803,5,0.7929610158695567,0.005576759664177098,0.9622009995441948,0.001362777178820912,5
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'english'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': 'english'}",98.74290328025818,9.936590814590454,0.8978603511056734,0.002096622062829067,0.9734591464695983,0.0009684520173595698,6,0.7928128166246249,0.004449881817521259,0.9462317975971658,0.0019077499281410853,6
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'english'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': 'english'}",117.54391150474548,8.389239740371703,0.8978455021933562,0.0022358865597582565,0.9735519457640331,0.0008999662987821763,7,0.792781005576586,0.004723799092037472,0.9464236297498122,0.001757726840449486,7
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': 'CountVectorizer', 'vectorizer__stop_words': 'english'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100, 'vectorizer': CountVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__stop_words': 'english'}",237.84223594665528,9.807997894287109,0.8975336584991587,0.003055763936123885,0.9813248894629891,0.0006898248439539269,8,0.7922352465215015,0.0062128578757651345,0.9621673980741843,0.0013470143306197268,8
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'None'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': TfidfVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': None}",141.8842873096466,10.648096990585326,0.8893524424614293,0.0019188609650549735,0.990964971856085,0.00028015423557560445,9,0.7763241576964788,0.004055159885265588,0.9817964233492684,0.0005626224061651847,10
"{'classifier': 'RandomForestClassifier', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': 'TfidfVectorizer', 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'english'}","{'classifier': RandomForestClassifier(class_weight='balanced', n_jobs=-1, random_state=42), 'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150, 'vectorizer': TfidfVectorizer(tokenizer=<function tokenize at 0x0000021411B51080>), 'vectorizer__max_df': 0.5, 'vectorizer__min_df': 5, 'vectorizer__stop_words': 'english'}",250.59496879577637,10.724389696121216,0.8888921460222414,0.0014524933860574991,0.9711614113661957,0.0005458120927303119,10,0.7767112223555797,0.002928596604083134,0.9420075316095012,0.0010805365132216004,9
